timestamp,ttc
0.0,25.77174101880235
0.05000000074505806,17.537876494290536
0.10000000149011612,13.198627171795069
0.15000000223517418,10.466404910068952
0.20000000298023224,8.672501979106823
0.2500000037252903,7.362611728006834
0.30000000447034836,6.403228025385425
0.3500000052154064,5.644206258827366
0.4000000059604645,5.046471775310449
0.45000000670552254,4.578652217467466
0.5000000074505806,4.179616879154805
0.5500000081956387,3.8632373282317034
0.6000000089406967,3.5560481366298435
0.6500000096857548,3.3118195204453023
0.7000000104308128,3.069379306031037
0.7500000111758709,2.87522373269465
0.800000011920929,2.678329317571089
0.850000012665987,2.5342564919167887
0.9000000134110486,2.423675970848424
0.9500000141560996,2.3745093213111845
1.0000000149011647,2.331525182346225
1.0500000156462193,2.102498333833117
1.1000000163912773,1.8082228360348227
1.1500000171363354,1.5705572237582859
1.2000000178813934,1.3748337279730611
1.2500000186264515,1.211832555011203
1.300000019371513,1.1868162281383177
1.3500000201165676,1.1784030783465984
1.4000000208616221,1.1709662318989245
1.4500000216066873,1.1607554789467471
1.5000000223517382,1.1525005297574824
1.5500000230967999,1.1396911783824988
1.600000023841858,1.1337201405896393
1.650000024586916,1.1219548493524691
1.700000025331974,1.117805539563801
1.750000026077032,1.1067837451959412
1.8000000268220866,1.1044014504183608
1.8500000275671482,1.0940246199060015
1.9000000283122063,1.093472607270884
1.9500000290572643,1.0837002168250025
2.0000000298023224,1.0850328979773305
2.0500000305473804,1.2131601131379346
2.1000000312924385,1.549332837512126
2.1500000320374966,2.236454726976803
2.2000000327825546,4.2244419403735565
